FORMAT SAMPLE,Unnamed: 1,Unnamed: 2,100,0.22500225002250024,100.1,0.22500225002250024.1,100.2,0.22500225002250024.2,0.05,100.3,0.22500225002250024.3,0.05.1,1.000009000090001,100.4,0.05.2,,nan.1
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.05,
Room:          Oddor  Meanchey                                                                                          ,,,,,,,,Level :  EHSS-2A,,,,,,,,0.05,
Instructors: Mr. Hoeng Phouchhit & Mr. Hoeng Visith,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,0.04,
,,,,,,,,,,,,,,,,0.05,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,0.05,
,,,Ventures Basic B,,Project 1B,,Ventures Basic B,,C.P.5%,Project 1B,,C.P.5%,,,,,
1,M,11445,77,0.17325173251732517,74,0.16650166501665017,74,0.16650166501665017,0.03,51,0.11475114751147511,0.04,0.6910062100621006,C,,,
2,M,11076,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
3,F,11472,82,0.18450184501845018,66,0.14850148501485014,90,0.2025020250202502,0.02,70,0.15750157501575016,0.04,0.7530069300693008,C,,,
4,F,11411,96,0.21600216002160022,98,0.22050220502205023,97,0.2182521825218252,0.05,88,0.1980019800198002,0.05,0.9527585275852759,A,,,
5,F,11506,74,0.16650166501665017,87,0.1957519575195752,91,0.2047520475204752,0.05,49,0.11025110251102511,0.05,0.7772567725677257,C,,,
6,M,11417,88,0.1980019800198002,85,0.19125191251912518,93,0.20925209252092522,0.03,63,0.14175141751417514,0.05,0.8202574025740257,B,,,
7,F,12275,96,0.21600216002160022,96,0.21600216002160022,96,0.21600216002160022,0.05,81,0.1822518225182252,0.05,0.9302583025830258,A,,,
8,M,12284,93,0.20925209252092522,98,0.22050220502205023,91,0.2047520475204752,0.04,81,0.1822518225182252,0.05,0.9067581675816758,A,,,
9,F,12000,96,0.21600216002160022,98,0.22050220502205023,97,0.2182521825218252,0.05,82,0.18450184501845018,0.05,0.9392583925839257,A,,,
10,M,12155,95,0.2137521375213752,93,0.20925209252092522,96,0.21600216002160022,0.04,89,0.2002520025200252,0.05,0.929258392583926,A,,,
11,M,11243,93,0.20925209252092522,93,0.20925209252092522,95,0.2137521375213752,0.03,56,0.12600126001260012,0.05,0.8382575825758258,B,,,
12,M,11295,83,0.18675186751867517,75,0.16875168751687517,71,0.15975159751597517,0.03,42,0.0945009450094501,0.05,0.6897560975609756,C,,,
13,M,11246,86,0.1935019350193502,64,0.14400144001440016,71,0.15975159751597517,0.04,47,0.1057510575105751,0.05,0.6930060300603007,C,,,
14,F,10799,83,0.18675186751867517,74,0.16650166501665017,68,0.15300153001530015,0.03,47,0.1057510575105751,0.05,0.6920061200612007,C,,,
15,M,11353,83,0.18675186751867517,82,0.18450184501845018,82,0.18450184501845018,0.03,57,0.12825128251282514,0.05,0.7640068400684008,C,,,
16,M,11077,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
17,M,11387,76,0.17100171001710018,90,0.2025020250202502,92,0.2070020700207002,0.03,59,0.13275132751327515,0.05,0.7932571325713257,B,,,
18,F,11551,88,0.1980019800198002,95,0.2137521375213752,93,0.20925209252092522,0.04,56,0.12600126001260012,0.04,0.8270074700747008,B,,,
19,F,11303,87,0.1957519575195752,94,0.2115021150211502,89,0.2002520025200252,0.05,50,0.11250112501125012,0.05,0.8200072000720008,B,,,
20,F,12078,96,0.21600216002160022,94,0.2115021150211502,98,0.22050220502205023,0.05,88,0.1980019800198002,0.05,0.9460084600846009,A,,,
21,F,12287,88,0.1980019800198002,93,0.20925209252092522,91,0.2047520475204752,0.05,64,0.14400144001440016,0.05,0.8560075600756007,B,,,
22,M,11242,94,0.2115021150211502,85,0.19125191251912518,85,0.19125191251912518,0.04,58,0.13050130501305013,0.05,0.8145072450724508,B,,,
23,F,11260,85,0.19125191251912518,80,0.18000180001800017,90,0.2025020250202502,0.04,53,0.11925119251192512,0.05,0.7830069300693007,C,,,
24,F,11882,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.05,
Room:          Kampot                                                                                          ,,,,,,,,Level :  EHSS-2B,,,,,,,,0.05,
Instructors: Mr. Kong Sareoun & Mr. Sorn Savoeun,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,0.04,
,,,,,,,,,,,,,,,,0.05,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,0.05,
,,,Ventures Basic B,,Project 1B,,Ventures Basic B,,C.P.5%,Project 1B,,C.P.5%,,,,,
1,M,10289,84,0.1890018900189002,68,0.15300153001530015,91,0.2047520475204752,0.05,37,0.08325083250832509,0.04,0.7200063000630007,C,,,
2,M,10288,83,0.18675186751867517,74,0.16650166501665017,87,0.1957519575195752,0.05,57,0.12825128251282514,0.04,0.7672567725677257,C,,,
3,F,11319,89,0.2002520025200252,70,0.15750157501575016,88,0.1980019800198002,0.05,55,0.12375123751237513,0.05,0.7795067950679506,C,,,
4,M,11791,86,0.1935019350193502,81,0.1822518225182252,78,0.17550175501755017,0.05,61,0.13725137251372513,0.04,0.7785068850688507,C,,,
5,F,12498,99,0.22275222752227522,88,0.1980019800198002,99,0.22275222752227522,0.05,94,0.2115021150211502,0.05,0.9550085500855008,A,,,
6,F,11321,99,0.22275222752227522,92,0.2070020700207002,94,0.2115021150211502,0.05,87,0.1957519575195752,0.04,0.9270083700837007,A,,,
7,M,11255,90,0.2025020250202502,49,0.11025110251102511,87,0.1957519575195752,0.05,46,0.1035010350103501,0.04,0.7020061200612006,C,,,
8,M,11234,64,0.14400144001440016,65,0.14625146251462515,40,0.09000090000900009,0.01,46,0.1035010350103501,0.04,0.5337548375483755,D,,,
9,M,12249,87,0.1957519575195752,86,0.1935019350193502,95,0.2137521375213752,0.05,75,0.16875168751687517,0.05,0.8717577175771758,B,,,
10,F,11040,95,0.2137521375213752,85,0.19125191251912518,92,0.2070020700207002,0.05,74,0.16650166501665017,0.05,0.8785077850778508,B,,,
11,F,11154,83,0.18675186751867517,73,0.16425164251642516,87,0.1957519575195752,0.05,51,0.11475114751147511,0.04,0.7515066150661507,C,,,
12,M,11849,44,0.0990009900099001,86,0.1935019350193502,0,0,0,0,0.0,0,0.2925029250292503,F,,,
13,F,11079,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
14,M,11285,82,0.18450184501845018,62,0.13950139501395015,83,0.18675186751867517,0.05,33,0.07425074250742507,0.04,0.6750058500585006,C,,,
15,M,11370,84,0.1890018900189002,67,0.15075150751507516,75,0.16875168751687517,0.05,31,0.06975069750697507,0.04,0.6682557825578256,C,,,
16,F,11186,90,0.2025020250202502,68,0.15300153001530015,81,0.1822518225182252,0.05,50,0.11250112501125012,0.04,0.7402565025650256,C,,,
17,M,11380,75,0.16875168751687517,64,0.14400144001440016,74,0.16650166501665017,0.04,32,0.07200072000720008,0.04,0.6312555125551256,D,,,
18,F,12286,97,0.2182521825218252,94,0.2115021150211502,95,0.2137521375213752,0.05,87,0.1957519575195752,0.04,0.9292583925839258,A,,,
19,F,12449,97,0.2182521825218252,92,0.2070020700207002,98,0.22050220502205023,0.05,82,0.18450184501845018,0.04,0.9202583025830259,A,,,
20,F,11273,80,0.18000180001800017,73,0.16425164251642516,76,0.17100171001710018,0.05,53,0.11925119251192512,0.04,0.7245063450634506,C,,,
21,M,11333,86,0.1935019350193502,80,0.18000180001800017,79,0.17775177751777518,0.05,53,0.11925119251192512,0.04,0.7605067050670506,C,,,
22,F,11356,96,0.21600216002160022,90,0.2025020250202502,93,0.20925209252092522,0.05,72,0.16200162001620017,0.04,0.8797578975789758,B,,,
23,F,11783,99,0.22275222752227522,90,0.2025020250202502,96,0.21600216002160022,0.05,76,0.17100171001710018,0.04,0.9022581225812258,A,,,
24,M,12453,98,0.22050220502205023,92,0.2070020700207002,90,0.2025020250202502,0.05,76,0.17100171001710018,0.04,0.8910080100801008,B,,,
25,F,11884,97,0.2182521825218252,93,0.20925209252092522,99,0.22275222752227522,0.05,92,0.05,0.05,0.8002565025650257,B,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.05,
Room:          Prasat Krol Ko                                                                                      ,,,,,,,,Level :  EHSS-2C,,,,,,,,0.05,
Instructors: Mr. Bun By & Ms. Sam Lida,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,0.04,
,,,,,,,,,,,,,,,,0.05,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,0.05,
,,,Ventures Basic B,,Project 1B,,Ventures Basic B,,C.P.5%,Project 1B,,C.P.5%,,,,,
1,M,11832,83,0.18675186751867517,67,0.15075150751507516,70,0.15750157501575016,0.05,46,0.1035010350103501,0.04,0.6885059850598505,C,,,
2,M,12010,87,0.1957519575195752,86,0.1935019350193502,71,0.15975159751597517,0.03,56,0.12600126001260012,0.03,0.7350067500675007,C,,,
3,F,11726,88,0.1980019800198002,88,0.1980019800198002,76,0.17100171001710018,0.01,59,0.13275132751327515,0.04,0.7497569975699757,C,,,
4,F,11958,97,0.2182521825218252,96,0.21600216002160022,90,0.2025020250202502,0.05,69,0.15525155251552517,0.05,0.8920079200792008,B,,,
5,F,11592,97,0.2182521825218252,93,0.20925209252092522,98,0.22050220502205023,0.05,74,0.16650166501665017,0.05,0.9145081450814508,A,,,
6,M,11721,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
7,F,11885,94,0.2115021150211502,87,0.1957519575195752,88,0.1980019800198002,0.05,49,0.11025110251102511,0.04,0.8055071550715508,B,,,
8,F,11597,89,0.2002520025200252,83,0.18675186751867517,95,0.2137521375213752,0.05,44,0.0990009900099001,0.05,0.7997569975699756,B,,,
9,M,11796,87,0.1957519575195752,86,0.1935019350193502,90,0.2025020250202502,0.05,69,0.15525155251552517,0.04,0.8370074700747008,B,,,
10,M,10900,76,0.17100171001710018,60,0.13500135001350014,62,0.13950139501395015,0.04,36,0.08100081000810008,0.04,0.6065052650526506,D,,,
11,M,11731,85,0.19125191251912518,87,0.1957519575195752,81,0.1822518225182252,0.05,44,0.0990009900099001,0.04,0.7582566825668258,C,,,
12,M,12113,91,0.2047520475204752,86,0.1935019350193502,88,0.1980019800198002,0.04,32,0.07200072000720008,0.02,0.7282566825668257,C,,,
13,M,11661,89,0.2002520025200252,83,0.18675186751867517,82,0.18450184501845018,0.05,43,0.0967509675096751,0.03,0.7482566825668256,C,,,
14,F,12059,92,0.2070020700207002,95,0.2137521375213752,97,0.2182521825218252,0.05,89,0.2002520025200252,0.05,0.9392583925839257,A,,,
15,F,11840,94,0.2115021150211502,87,0.1957519575195752,96,0.21600216002160022,0.01,81,0.1822518225182252,0.04,0.8555080550805508,B,,,
16,F,11722,97,0.2182521825218252,90,0.2025020250202502,100,0.22500225002250024,0.05,87,0.1957519575195752,0.05,0.9415084150841508,A,,,
17,M,11688,92,0.2070020700207002,80,0.18000180001800017,71,0.15975159751597517,0.03,64,0.14400144001440016,0.04,0.7607569075690757,C,,,
18,F,11689,99,0.22275222752227522,98,0.22050220502205023,100,0.22500225002250024,0.05,94,0.2115021150211502,0.05,0.9797587975879759,A,,,
19,M,11816,84,0.1890018900189002,83,0.18675186751867517,96,0.21600216002160022,0.05,81,0.1822518225182252,0.04,0.8640077400774008,B,,,
20,F,11774,97,0.2182521825218252,94,0.2115021150211502,99,0.22275222752227522,0.05,83,0.18675186751867517,0.05,0.9392583925839258,A,,,
21,F,11723,93,0.20925209252092522,87,0.1957519575195752,88,0.1980019800198002,0.05,59,0.13275132751327515,0.04,0.8257573575735758,B,,,
22,F,11712,97,0.2182521825218252,98,0.22050220502205023,97,0.2182521825218252,0.05,88,0.1980019800198002,0.05,0.9550085500855009,A,,,
23,F,11955,92,0.2070020700207002,85,0.19125191251912518,87,0.1957519575195752,0.05,55,0.12375123751237513,0.05,0.8177571775717758,B,,,
24,F,11598,97,0.2182521825218252,87,0.1957519575195752,97,0.2182521825218252,0.05,74,0.16650166501665017,0.05,0.8987579875798758,B,,,
25,M,11663,93,0.20925209252092522,94,0.2115021150211502,95,0.2137521375213752,0.05,72,0.16200162001620017,0.04,0.8865079650796509,B,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
Room:       Pailin                                                                                                ,,,,,,,,Level :  EHSS-3A,,,,,,,,,
Instructors: Ms. Sam Lida & Mr. Kong Sareoun                                        ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
,,,Ventures  1A,,Project 2A,,Ventures  1A,,C.P.5%,Project 2A,,C.P.5%,,,,,
1,M,08579,82,0.18450184501845018,51,0.11475114751147511,72,0.16200162001620017,0.03,57,0.12825128251282514,0.04,0.6595058950589505,C,,,
2,M,10591,62,0.13950139501395015,44,0.0990009900099001,87,0.1957519575195752,0.04,62,0.13950139501395015,0.05,0.6637557375573757,C,,,
3,F,11781,92,0.2070020700207002,70,0.15750157501575016,95,0.2137521375213752,0.03,73,0.16425164251642516,0.04,0.8125074250742508,B,,,
4,M,11325,98,0.22050220502205023,66,0.14850148501485014,94,0.2115021150211502,0.03,64,0.14400144001440016,0.04,0.7945072450724507,B,,,
5,M,11399,95,0.2137521375213752,73,0.16425164251642516,93,0.20925209252092522,0.04,63,0.14175141751417514,0.03,0.7990072900729007,B,,,
6,F,11533,98,0.22050220502205023,58,0.13050130501305013,0,0,0,0,0.0,0,0.35100351003510033,F,,,
7,F,11834,98,0.22050220502205023,67,0.15075150751507516,95,0.2137521375213752,0.05,78,0.17550175501755017,0.05,0.8605076050760507,B,,,
8,M,10951,77,0.17325173251732517,50,0.11250112501125012,80,0.18000180001800017,0.03,65,0.14625146251462515,0.04,0.6820061200612006,C,,,
9,F,12513,100,0.22500225002250024,85,0.19125191251912518,98,0.22050220502205023,0.05,78,0.17550175501755017,0.05,0.9122581225812258,A,,,
10,F,11999,99,0.22275222752227522,75,0.16875168751687517,99,0.22275222752227522,0.05,87,0.1957519575195752,0.05,0.9100081000810007,A,,,
11,M,11270,94,0.2115021150211502,80,0.18000180001800017,97,0.2182521825218252,0.05,69,0.15525155251552517,0.05,0.8650076500765008,B,,,
12,F,11429,94,0.2115021150211502,64,0.14400144001440016,85,0.19125191251912518,0.04,56,0.12600126001260012,0.05,0.7627567275672757,C,,,
13,F,11918,96,0.21600216002160022,84,0.1890018900189002,100,0.22500225002250024,0.05,89,0.2002520025200252,0.05,0.9302583025830259,A,,,
14,F,11081,0,0.0,0,0.0,0,0,0,0,0.0,0,0,F,,,
15,F,08828,97,0.2182521825218252,84,0.1890018900189002,88,0.1980019800198002,0.02,83,0.18675186751867517,0.05,0.8620079200792008,B,,,
16,M,11386,100,0.22500225002250024,84,0.1890018900189002,96,0.21600216002160022,0.05,68,0.15300153001530015,0.05,0.8830078300783009,B,,,
17,F,11320,100,0.22500225002250024,86,0.1935019350193502,99,0.22275222752227522,0.05,87,0.1957519575195752,0.05,0.9370083700837009,A,,,
18,M,11845,98,0.22050220502205023,88,0.1980019800198002,97,0.2182521825218252,0.05,76,0.17100171001710018,0.05,0.9077580775807758,A,,,
19,M,11567,98,0.22050220502205023,78,0.17550175501755017,85,0.19125191251912518,0.02,67,0.15075150751507516,0.03,0.7880073800738007,C,,,
20,F,10893,100,0.22500225002250024,71,0.15975159751597517,98,0.22050220502205023,0.04,71,0.15975159751597517,0.05,0.8550076500765007,B,,,
21,F,11803,90,0.2025020250202502,74,0.16650166501665017,96,0.21600216002160022,0.03,50,0.11250112501125012,0.04,0.7675069750697507,C,,,
22,M,10368,94,0.2115021150211502,62,0.13950139501395015,94,0.2115021150211502,0.05,61,0.13725137251372513,0.05,0.7997569975699756,B,,,
23,M,11716,96,0.21600216002160022,72,0.16200162001620017,93,0.20925209252092522,0.05,72,0.16200162001620017,0.05,0.8492574925749257,B,,,
24,M,10645,92,0.2070020700207002,58,0.13050130501305013,88,0.1980019800198002,0.03,45,0.1012510125101251,0.04,0.7067563675636757,C,,,
25,M,11500,98,0.22050220502205023,56,0.12600126001260012,93,0.20925209252092522,0.05,59,0.13275132751327515,0.05,0.7885068850688507,C,,,
"Mid-Term = 45% ;    Final = 45%,          C.P. (Class Participation) = 10%,       A= 100%-90%, B=89%-80%, C= 79%-65%, D= 64%-50%, F= Under 50%  ",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ENGLISH FOR HIGH SCHOOL RESULT - TERM:  01 October 2019 ( 01 October 2019 - 31 December 2019 ) ,,,,,,,,,,,,,,,,,
Room:      Siem Reap                                                                                                         ,,,,,,,,Level :  EHSS-3B,,,,,,,,,
Instructors:  Mr. Hoeng Visith & Mr. Hoeng Phouchhit                           ,,,,,,,,Time: 6:00-7:30 PM,,,,,,,,,
,,,,,,,,,,,,,,,,,
No.,Gender,ID,Mid-term (45%),,,,Final (45%),,,,,,Total,Grade,Deduction and give reason,,
